410000015G04,A184 (E-Bound),twrdjdjg,A184,Outside Half Moon Hotel Public House,A184,E-Bound,E,Gateshead,,Gateshead
410000014575,Benwell Lane-Denton Gardens (W-Bound),twrdagwm,Benwell Lane-Denton Gardens,Outside Denton Gardens,Benwell Lane,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014571,Benwell Lane-Hodgkin Park Road (NW-Bound),twrdagwa,Benwell Lane-Hodgkin Park Road,West Of Hodgkin Park Road,Benwell Lane,NW-Bound,NW,Benwell,Newcastle upon Tyne,Benwell
410000014568,Benwell Lane-Hodgkin Park Road (SE-Bound),twrdagtm,Benwell Lane-Hodgkin Park Road,Opposite Benwell Grange,Benwell Lane,SE-Bound,SE,Benwell,Newcastle upon Tyne,Benwell
410000014570,Benwell Lane-Rushie Avenue (SE-Bound),twrdagtw,Benwell Lane-Rushie Avenue,Opposite The Hodgkin House Lodge,Benwell Lane,SE-Bound,SE,Benwell,Newcastle upon Tyne,Benwell
410000014573,Benwell Lane-Rushie Avenue (W-Bound),twrdagwg,Benwell Lane-Rushie Avenue,Opposite Rushie Avenue,Benwell Lane,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014572,Benwell Lane-Wellburn House (E-Bound),twrdagwd,Benwell Lane-Wellburn House,Outside Wellburn House And Play Area,Benwell Lane,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000014547,Benwell Village (N-Bound),twrdagjw,Benwell Village,Outside The Mitre,Pendower Way,N-Bound,N,Benwell,Newcastle upon Tyne,Benwell
410000014533,Benwell Village (NE-Bound),twrdagda,Benwell Village,Outside St Cuthberts Lower School,Fox And Hounds Lane,NE-Bound,NE,Benwell,Newcastle upon Tyne,Benwell
410000014548,Benwell Village (S-Bound),twrdagma,Benwell Village,Opposite The Mitre,Pendower Way,S-Bound,S,Benwell,Newcastle upon Tyne,Benwell
410000014532,Benwell Village (SW-Bound),twrdagaw,Benwell Village,Opposite St Cuthberts Lower School,Fox And Hounds Lane,SW-Bound,SW,Benwell,Newcastle upon Tyne,Benwell
410000030066,Bevan Avenue-Blyton Avenue (S-Bound),twrgjdmd,Bevan Avenue-Blyton Avenue,30m South Of Back Ryhope Street,Bevan Avenue,S-Bound,S,Ryhope Colliery,,Ryhope Colliery
410000030060,Bevan Avenue-Burdon Lane (NW-Bound),twrgjdjg,Bevan Avenue-Burdon Lane,70m North Of Burdon Lane,Bevan Avenue,NW-Bound,NW,Ryhope Colliery,,Ryhope Colliery
410000030068,Bevan Avenue-Burdon Lane (SE-Bound),twrgjdmj,Bevan Avenue-Burdon Lane,Junction With Burdon Lane,Bevan Avenue,SE-Bound,SE,Ryhope Colliery,,Ryhope Colliery
410000030062,Bevan Avenue-Cheviot Lane (N-Bound),twrgjdjp,Bevan Avenue-Cheviot Lane,Opposite The Top House Public House,Bevan Avenue,N-Bound,N,Ryhope Colliery,,Ryhope Colliery
410000030061,Bevan Avenue-Stewart Avenue (NW-Bound),twrgjdjm,Bevan Avenue-Stewart Avenue,40m North Opposite Stewart Avenue Junction,Bevan Avenue,NW-Bound,NW,Ryhope Colliery,,Ryhope Colliery
410000030067,Bevan Avenue-Stewart Avenue (SE-Bound),twrgjdmg,Bevan Avenue-Stewart Avenue,Outside Stewart Avenue,Bevan Avenue,SE-Bound,SE,Ryhope Colliery,,Ryhope Colliery
410000005024,Beverley Terrace-Beverley Gardens (N-Bound),twragdjd,Beverley Terrace-Beverley Gardens,Outside St Georges Church,Grand Parade,N-Bound,N,Cullercoats,Whitley Bay,Cullercoats
410000005025,Beverley Terrace-Marden Avenue (N-Bound),twragdjg,Beverley Terrace-Marden Avenue,Opposite Cullercoats Bay/south Pier,Beverley Terrace,N-Bound,N,Cullercoats,Whitley Bay,Cullercoats
410000005040,Beverley Terrace-Marden Avenue (S-Bound),twragdmt,Beverley Terrace-Marden Avenue,Overlooking Cullercoats Bay,Beverley Terrace,S-Bound,S,Cullercoats,Whitley Bay,Cullercoats
410000010310,Bewick Park (N-Bound),twratdjd,Bewick Park,Opposite Bewick Park,ADDINGTON DRIVE,N-Bound,N,Battle Hill,,Battle Hill
410000010062,Bewicke Road (E-Bound),twraptjt,Bewicke Road,Opposite Post Office,Bewicke Road,E-Bound,E,Willington Quay,,Willington Quay
410000010081,Bewicke Road (W-Bound),twraptwg,Bewicke Road,30m East Of Post Office,Bewicke Road,W-Bound,W,Willington Quay,,Willington Quay
410000010080,Bewicke Road-Addison Court (W-Bound),twraptwd,Bewicke Road-Addison Court,West Of Addison Court Junction,Bewicke Road,W-Bound,W,Willington Quay,,Willington Quay
410000010063,Bewicke Street -Clavering Street (SE-Bound),twraptjw,Bewicke Street -Clavering Street,Outside Marine House,Bewicke Street,SE-Bound,SE,Willington Quay,,Willington Quay
410000010079,Bewicke Street-Coach Open (W-Bound),twraptwa,Bewicke Street-Coach Open,Opposite Car Park 100m North Pedestrian Tunnel,Bewicke Street,W-Bound,W,Willington Quay,,Willington Quay
410000023814,Bexhill Road-Beeston Avenue (NW-Bound),twrdtpat,Bexhill Road-Beeston Avenue,Opposite Town End Farm Primary School,Bexhill Road,NW-Bound,NW,Town End Farm,Sunderland,Town End Farm
410000023815,Bexhill Road-Bexhill Square (SE-Bound),twrdtpaw,Bexhill Road-Bexhill Square,Outside Town End Farm Primary School,Bexhill Road,SE-Bound,SE,Town End Farm,Sunderland,Town End Farm
410000023812,Bexhill Road-Borodin Avenue (E-Bound),twrdtpam,Bexhill Road-Borodin Avenue,Opposite Bexhill Primary School,Bexhill Road,E-Bound,E,Town End Farm,Sunderland,Town End Farm
410000023813,Bexhill Road-Borodin Avenue (W-Bound),twrdtpap,Bexhill Road-Borodin Avenue,Outside Bexhill Primary School,Bexhill Road,W-Bound,W,Town End Farm,Sunderland,Town End Farm
410000060204,Biddick (S-Bound),twrgpwap,Biddick,Opposite Tintern Junction,Parkway,S-Bound,S,Biddick,Washington,Biddick
410000000067,Biddick Academy (W-Bound),twrgtwgt,Biddick Academy,Biddick School,Biddick Lane,W-Bound,W,Biddick,Washington,Biddick
410000028512,Biddick Lane-Fallowfield Way (S-Bound),twrgdjwm,Biddick Lane-Fallowfield Way,55m North Of Fallowfield Way,Biddick Lane,S-Bound,S,Fatfield,Washington,Fatfield
410000023130,Biddick Lane-School (S-Bound),twrdtmjd,Biddick Lane-School,Opposite Biddick School,Biddick Lane,S-Bound,S,Biddick,Washington,Biddick
410000028901,Biddick Woods Estate (NW-Bound),twrgtjdj,Biddick Woods Estate,Outside Biddick Woods Estate,N/A,NW-Bound,NW,Shiney Row,Houghton-le-Spring,Shiney Row
410000010013,Billy Mill Ave-Addington Cres (N-Bound),twrapmpj,Billy Mill Ave-Addington Cres,Outside Addington Crescent Junction,Billy Mill Avenue,N-Bound,N,North Shields,,North Shields
410000010007,Billy Mill Ave-Addington Cres (S-Bound),twrapmjp,Billy Mill Ave-Addington Cres,Opposite Addington Cresent Junction,Billy Mill Avenue,S-Bound,S,North Shields,,North Shields
410000010012,Billy Mill Avenue-Chirton Lane (N-Bound),twrapmpg,Billy Mill Avenue-Chirton Lane,Outside Rex Lodge And Cinema,Billy Mill Avenue,N-Bound,N,North Shields,,North Shields
410000010008,Billy Mill Avenue-Lyncroft Road (S-Bound),twrapmjt,Billy Mill Avenue-Lyncroft Road,Outside Lyncroft Road Junction,Billy Mill Avenue,S-Bound,S,North Shields,,North Shields
410000010158,Billy Mill Lane-Barnstable Road (S-Bound),twratagj,Billy Mill Lane-Barnstable Road,65m South Of Trinity Methodist Church,Billy Mill Lane,S-Bound,S,New York,,New York
410000010159,Billy Mill Lane-Cragside Avenue (S-Bound),twratagm,Billy Mill Lane-Cragside Avenue,35m South Of St Aiden's Church,Billy Mill Lane,S-Bound,S,Billy Mill,,Billy Mill
410000010167,Billy Mill Lane-School (NW-Bound),twratajp,Billy Mill Lane-School,Outside St Thomas More Rc High School,Billy Mill Lane,NW-Bound,NW,Billy Mill,,Billy Mill
410000010914,Billy Mill Lane-Selkirk Way (N-Bound),twrgwdgm,Billy Mill Lane-Selkirk Way,South Of Trinity Methodist Church,Billy Mill Lane,N-Bound,N,New York,,New York
410000010922,Billy Mill Lane-Tiverton Avenue (SE-Bound),twrjawpt,Billy Mill Lane-Tiverton Avenue,,Billy Mill Lane,SE-Bound,SE,Billy Mill,,North Tyneside
410000010168,Billy Mill Lane-Whitehouse Lane (N-Bound),twratajt,Billy Mill Lane-Whitehouse Lane,Opposite St Aiden's Church,Billy Mill Lane,N-Bound,N,Billy Mill,,Billy Mill
410000008492,Binswood Avenue-Bonnington Way (E-Bound),twrajtga,Binswood Avenue-Bonnington Way,Outside The Library,Binswood Avenue,E-Bound,E,Blakelaw,Newcastle upon Tyne,Blakelaw
410000008493,Binswood Avenue-Moulton Place (W-Bound),twrajtgd,Binswood Avenue-Moulton Place,Opposite Moulton Place,Binswood Avenue,W-Bound,W,Blakelaw,Newcastle upon Tyne,Blakelaw
410000041074,Bird Street (NE-Bound),twrgjwpj,Bird Street,Opposite The Corvette Public House,Bird Street,NE-Bound,NE,North Shields,,North Shields
410000041078,Bird Street (SW-Bound),twrgjwpw,Bird Street,Outside The Corvette Public House,BIRD STREET,SW-Bound,SW,North Shields,,North Shields
410000015596,Birds Nest Road (E-Bound),twrdgwaw,Birds Nest Road,Opposite Lichfield Avenue,Birds Nest Road,E-Bound,E,Walker,Newcastle upon Tyne,Walker
410000015595,Birds Nest Road (W-Bound),twrdgwat,Birds Nest Road,Outside Burnham Grove Junction,Birds Nest Road,W-Bound,W,Walker,Newcastle upon Tyne,Walker
410000060211,Birtley (E-Bound),twrgpwdp,Birtley,Outside Birtley Methodist Church,Station Lane,E-Bound,E,Birtley,Gateshead,Birtley
410000022951,Birtley (S-Bound),twrdtgaj,Birtley,Outside War Memorial,Durham Road,S-Bound,S,Birtley,Gateshead,Birtley
410000022942,Birtley Blackfell Way (E-Bound),twrjawmj,Birtley Blackfell Way,,Blackfell Way,E-Bound,E,Birtley,Gateshead,Birtley
410000062007,Birtley Blackfell Way (N-Bound),twrjawmd,Birtley Blackfell Way,,Blackfell Way,N-Bound,N,Birtley,Gateshead,Birtley
410000000086,Birtley East Primary School (S-Bound),twrgtpgd,Birtley East Primary School,Birtley East Primary School,Malone Gardens,S-Bound,S,Birtley,Gateshead,Birtley
410000022197,Birtley Lane-Fell Close (SW-Bound),twrdtagt,Birtley Lane-Fell Close,Opposite Fell Close Entrance,Birtley Lane,SW-Bound,SW,Birtley,Gateshead,Birtley
410000022199,Birtley Lane-Harras Bank (N-Bound),twrdtaja,Birtley Lane-Harras Bank,50m South East Of Birtley Adult Training Centre,Birtley Lane,N-Bound,N,Birtley,Gateshead,Birtley
410000022195,Birtley Lane-Harras Bank (S-Bound),twrdtagm,Birtley Lane-Harras Bank,Outside The Moulders Arms Public House,Birtley Lane,S-Bound,S,Birtley,Gateshead,Birtley
410000022198,Birtley Lane-Leafield House (W-Bound),twrdtagw,Birtley Lane-Leafield House,Outside Leafield House,Birtley Lane,W-Bound,W,Birtley,Gateshead,Birtley
410000022196,Birtley Lane-Manor House (E-Bound),twrdtagp,Birtley Lane-Manor House,Opposite Manor House,Birtley Lane,E-Bound,E,Birtley,Gateshead,Birtley
410000022953,Birtley Lane-Old Vicarage (NW-Bound),twrdtgap,Birtley Lane-Old Vicarage,Outside The Old Vicarage,Birtley Lane,NW-Bound,NW,Birtley,Gateshead,Birtley
410000022193,Birtley Lane-Orchard Street (SE-Bound),twrdtagd,Birtley Lane-Orchard Street,Outside Coronation Recreation Ground,Birtley Lane,SE-Bound,SE,Birtley,Gateshead,Birtley
410000022200,Birtley Lane-School (N-Bound),twrdtajd,Birtley Lane-School,Opposite Birtley County Junior And Infant School,Birtley Lane,N-Bound,N,Birtley,Gateshead,Birtley
410000022194,Birtley Lane-The Avenue (S-Bound),twrdtagj,Birtley Lane-The Avenue,Opposite The Queens Head Public House,Birtley Lane,S-Bound,S,Birtley,Gateshead,Birtley
410000027631,Birtley Road-Flyover (N-Bound),twrgdagd,Birtley Road-Flyover,Western Highway Flyover,Birtley Road,N-Bound,N,Wear Industrial Estate,Sunderland,Wear Industrial Estate
410000027901,Birtley Road-Goldstar (E-Bound),twrgdajd,Birtley Road-Goldstar,200m West Of The Gold Star Factory,Birtley Road,E-Bound,E,Wear Industrial Estate,Sunderland,Wear Industrial Estate
410000027632,Birtley Road-Goldstar (S-Bound),twrgdagj,Birtley Road-Goldstar,Opposite The Gold Star Factory,Birtley Road,S-Bound,S,Wear Industrial Estate,Sunderland,Wear Industrial Estate
410000027902,Birtley Road-Picktree Lane (W-Bound),twrgdajg,Birtley Road-Picktree Lane,Outside Picktree Lane Junction,Birtley Road,W-Bound,W,Wear Industrial Estate,Sunderland,Wear Industrial Estate
410000022208,Birtley Royal Ordnance Factory (NE-Bound),twrdtamg,Birtley Royal Ordnance Factory,Outside Royal Ordnance Factory,Mitchell Street,NE-Bound,NE,Birtley,Gateshead,Birtley
410000022209,Birtley Royal Ordnance Factory (S-Bound),twrdtamj,Birtley Royal Ordnance Factory,Opposite King Street,George Street,S-Bound,S,Birtley,Gateshead,Birtley
410000061234,Birtley Truck Stop (W-Bound),twrjagdm,Birtley Truck Stop,Car Park Grounds,Portobello,W-Bound,W,Portobello,Washington,Birtley
410000060883,Black Lane Estate (S-Bound),twrgwpwj,Black Lane Estate,Beside Golf Course,Western View,S-Bound,S,Eighton Banks,Gateshead,Eighton Banks
410000013169,Black Lane-Burn Road (N-Bound),twrawdtd,Black Lane-Burn Road,Opposite Windy Rigg,Black Lane,N-Bound,N,Blaydon Burn,,Blaydon Burn
410000013133,Black Lane-Burn Road (S-Bound),twrawdaw,Black Lane-Burn Road,Junction With Burn Road,Black Lane,S-Bound,S,Blaydon Burn,,Blaydon Burn
410000013111,Black Lane-Crocus Close (NE-Bound),twrawatg,Black Lane-Crocus Close,Opposite Crocus Close,BLACK LANE,NE-Bound,NE,Blaydon Burn,,Blaydon Burn
410000013097,Black Lane-Crocus Close (W-Bound),twrawamg,Black Lane-Crocus Close,West Of Blackstone Court (opposite),Black Lane,W-Bound,W,Blaydon Burn,,Blaydon Burn
410000013096,Black Lane-Daffodil Close (NW-Bound),twrawamd,Black Lane-Daffodil Close,Opposite Blackstone Court Estate,BLACK LANE,NW-Bound,NW,Blaydon Burn,,Blaydon Burn
410000013098,Black Lane-Snowdrop Close (SW-Bound),twrawamj,Black Lane-Snowdrop Close,Outside Snowdrop Close,Black Lane,SW-Bound,SW,Blaydon Burn,,Blaydon Burn
410000013110,Black Lane-Valley Crescent (NE-Bound),twrawatd,Black Lane-Valley Crescent,Outside Valley Crescent,BLACK LANE,NE-Bound,NE,Blaydon Burn,,Blaydon Burn
410000010531,Black Road (N-Bound),twratgmd,Black Road,Hedgeley Road Day Centre,Black Road,N-Bound,N,Hebburn,,Hebburn
410000030063,Black Road (N-Bound),twrgjdjt,Black Road,Outside Community Centre,Black Road,N-Bound,N,Ryhope Colliery,,Ryhope Colliery
410000010532,Black Road (S-Bound),twratgmg,Black Road,Junction With St Oswalds Road,Black Road,S-Bound,S,Hebburn,,Hebburn
410000030065,Black Road (S-Bound),twrgjdma,Black Road,Opposite Community Centre,Black Road,S-Bound,S,Ryhope Colliery,,Ryhope Colliery
410000010510,Blackett Street (E-Bound),twratgda,Blackett Street,Opposite Dougie's Tavern Public House,Blackett Street,E-Bound,E,Jarrow,,Jarrow
410000010511,Blackett Street (W-Bound),twratgdg,Blackett Street,Outside Dougie's Tavern Public House,Blackett Street,W-Bound,W,Jarrow,,Jarrow
410000022947,Blackfell Road (E-Bound),twrjdgat,Blackfell Road,,BLACKFELL ROAD,E-Bound,E,Armstrong,Washington,Armstrong
410000022941,Blackfell Way - Angel Way (N-Bound),twrjawmg,Blackfell Way - Angel Way,,Blackfell Way,N-Bound,N,Birtley,Gateshead,Birtley
410000022943,Blackfell Way (S-Bound),twrjawmp,Blackfell Way,,Blackfell Way,S-Bound,S,Birtley,Gateshead,Birtley
410000009992,Blackfriars Way (N-Bound),twrgwatd,Blackfriars Way,Opposite The Church Of St Mary Magdalene,Blackfriars Way,N-Bound,N,Longbenton,Newcastle upon Tyne,Longbenton
410000009975,Blackfriars Way (S-Bound),twrapjdt,Blackfriars Way,Opposite Deacon Court,Blackfriars Way,S-Bound,S,Longbenton,Newcastle upon Tyne,Longbenton
410000009977,Blackfriars Way (S-Bound),twrapjga,Blackfriars Way,Outside The Church Of St Mary Magdalene,Blackfriars Way,S-Bound,S,Longbenton,Newcastle upon Tyne,Longbenton
410000019035,Blackhall Mill Mill Race (W-Bound),twrdpdaj,Blackhall Mill Mill Race,Opposite School House,RIVER VIEW,W-Bound,W,Blackhall Mill,,Blackhall Mill
410000024233,Blackwood Road - Brunswick Road (S-Bound),twrdwgjg,Blackwood Road - Brunswick Road,Opposite The Slipway Public House,Blackwood Road,S-Bound,S,Town End Farm,Sunderland,Town End Farm
410000024990,Blackwood Road (N-Bound),twrgajmd,Blackwood Road,Outside The Slipway Public House,Blackwood Road,N-Bound,N,Town End Farm,Sunderland,Town End Farm
410000024997,Blackwood Road-Barrow Street (NW-Bound),twrgtjgt,Blackwood Road-Barrow Street,Opposite St John Bosco Rc Church Hall,Blackwood Road,NW-Bound,NW,Town End Farm,Sunderland,Town End Farm
410000023811,Blackwood Road-Bingley Street (N-Bound),twrdtpaj,Blackwood Road-Bingley Street,Opposite Dodds Court,Blackwood Road,N-Bound,N,Town End Farm,Sunderland,Town End Farm
410000023904,Blackwood Road-Bingley Street (S-Bound),twrdtpgw,Blackwood Road-Bingley Street,Outside Dodds Court,Blackwood Road,S-Bound,S,Town End Farm,Sunderland,Town End Farm
410000008302,Blakelaw Road-Sunnyway (E-Bound),twrajgdm,Blakelaw Road-Sunnyway,Opposite Cragston House,Blakelaw Road,E-Bound,E,Blakelaw,Newcastle upon Tyne,Blakelaw
410000008309,Blakelaw Road-Sunnyway (W-Bound),twrajgjg,Blakelaw Road-Sunnyway,Outside Cragston House,Blakelaw Road,W-Bound,W,Blakelaw,Newcastle upon Tyne,Blakelaw
410000008303,Blakelaw Road-Wilbury Place (E-Bound),twrajgdp,Blakelaw Road-Wilbury Place,Outside Coopers Forge Public House,Blakelaw Road,E-Bound,E,Blakelaw,Newcastle upon Tyne,Blakelaw
410000008308,Blakelaw Road-Wilbury Place (W-Bound),twrajgjd,Blakelaw Road-Wilbury Place,Opposite Coopers Forge Public House,Blakelaw Road,W-Bound,W,Blakelaw,Newcastle upon Tyne,Blakelaw
41000013BR07,Blaydon (E-Bound),twrawjaw,Blaydon,Blaydon Railway Club,Tyne Street,E-Bound,E,Blaydon,Gateshead,Blaydon
4100013BR07A,Blaydon (W-Bound),twrawjda,Blaydon,Blaydon Railway Club,Tyne Street,W-Bound,W,Blaydon,Gateshead,Blaydon
410000013091,Blaydon Bank-Alice Street (NE-Bound),twrawajm,Blaydon Bank-Alice Street,Opposite Alice Street Junction,BLAYDON BANK,NE-Bound,NE,Winlaton,Gateshead,Winlaton
410000013089,Blaydon Bank-Alice Street (SW-Bound),twrawajg,Blaydon Bank-Alice Street,Outside Alice Street Junction,Blaydon Bank,SW-Bound,SW,Winlaton,Gateshead,Winlaton
410000013088,Blaydon Bank-Cricket Ground (S-Bound),twrawajd,Blaydon Bank-Cricket Ground,Outside Cricket Ground,BLAYDON BANK,S-Bound,S,Blaydon,Gateshead,Blaydon
410000013093,Blaydon Bank-Croftdale Road (NE-Bound),twrawajt,Blaydon Bank-Croftdale Road,West Of The Huntsman Public House,Blaydon Bank,NE-Bound,NE,Blaydon,Gateshead,Blaydon
410000013902,Blaydon Bank-Lawrence Court (N-Bound),twrawgpa,Blaydon Bank-Lawrence Court,South Of Blaydon West County Primary School,Blaydon Bank,N-Bound,N,Blaydon,Gateshead,Blaydon
410000013092,Blaydon Bank-Monarch Terrace (N-Bound),twrawajp,Blaydon Bank-Monarch Terrace,Opposite Monarch Terrace,Blaydon Bank,N-Bound,N,Blaydon,Gateshead,Blaydon
410000013087,Blaydon Bank-Widdrington Road (S-Bound),twrawaja,Blaydon Bank-Widdrington Road,South Of Widdrington Road,Blaydon Bank,S-Bound,S,Blaydon,Gateshead,Blaydon
410000013914,Blaydon Bus Link (E-Bound),twrjadpj,Blaydon Bus Link,Opposite Doctors Surgery,Bus Station Bus Link,E-Bound,E,Blaydon,Gateshead,Blaydon
410000013913,Blaydon Bus Link (W-Bound),twrjadpg,Blaydon Bus Link,Beside Doctors Surgery,Bus Station Link Road,W-Bound,W,Blaydon,Gateshead,Blaydon
4100013BLAAS,Blaydon Bus Station (A),twrawjag,Blaydon Bus Station,Outside St Cuthberts Church,Blaydon Bus Station,A,,Blaydon,Gateshead,Blaydon
4100013BLABS,Blaydon Bus Station (B),twrawjaj,Blaydon Bus Station,Outside Shopping Precinct,Blaydon Bus Station,B,,Blaydon,Gateshead,Blaydon
4100013BLACS,Blaydon Bus Station (C),twrawjam,Blaydon Bus Station,Outside Shopping Precinct,Blaydon Bus Station,C,,Blaydon,Gateshead,Blaydon
4100013BLADS,Blaydon Bus Station (D),twrawjap,Blaydon Bus Station,Opposite Shopping Precinct,Blaydon Bus Station,D,,Blaydon,Gateshead,Blaydon
4100013BLAES,Blaydon Bus Station Stand E (NE-Bound),twrawjat,Blaydon Bus Station Stand E,Blaydon Bus Station,Blaydon Bus Station,NE-Bound,,Blaydon,Gateshead,Blaydon
410000000087,Blaydon West Primary School (NE-Bound),twrgtpgj,Blaydon West Primary School,Blaydon West Jmi School,N/a,NE-Bound,NE,Blaydon,Gateshead,Blaydon
410000013070,Bleach Green (E-Bound),twratwtm,Bleach Green,Outside Junction With Beech Terrace,Shibdon Bank,E-Bound,E,Blaydon,Gateshead,Blaydon
410000013082,Bleach Green (S-Bound),twrawagj,Bleach Green,Outside Junction With Rockmore Road,Beech Terrace,S-Bound,S,Blaydon,Gateshead,Blaydon
410000013060,Bleach Green (W-Bound),twratwpd,Bleach Green,40m West Of Post Office,Shibdon Bank,W-Bound,W,Blaydon,Gateshead,Blaydon
410000029069,Blind Lane - Wynyard Street (S-Bound),twrgdpwg,Blind Lane - Wynyard Street,Outside Entrance Leading To Silksworth Schools,Blind Lane,S-Bound,S,Silksworth,,Silksworth
410000029071,Blind Lane (N-Bound),twrgdpwm,Blind Lane,Opposite Silksworth Recreation Ground,Blind Lane,N-Bound,N,Silksworth,,Silksworth
410000029068,Blind Lane (S-Bound),twrgdpwd,Blind Lane,100m South Of Silksworth Recreation Ground,Blind Lane,S-Bound,S,Silksworth,,Silksworth
410000029070,Blind Lane -Silksworth Terrace (N-Bound),twrgdpwj,Blind Lane -Silksworth Terrace,Opposite Entrance Leading To Silksworth Schools,Blind Lane,N-Bound,N,Silksworth,,Silksworth
410000028074,Blind Lane-Golf Course Road (NW-Bound),twrgdgtj,Blind Lane-Golf Course Road,55m South Of Stotts Pastures And Golf Course Rd,Blind Lane,NW-Bound,NW,Success,Houghton-le-Spring,Success
410000028079,Blind Lane-Golf Course Road (SE-Bound),twrgdgwd,Blind Lane-Golf Course Road,55m South Of Stotts Pastures And Golf Course Rd,Blind Lane,SE-Bound,SE,Success,Houghton-le-Spring,Success
410000028073,Blind Lane-Jane Pitts Cottage (NW-Bound),twrgdgtg,Blind Lane-Jane Pitts Cottage,100m South Opposite Jane Pitt Cottage,Blind Lane,NW-Bound,NW,Success,Houghton-le-Spring,Success
410000028080,Blind Lane-Jane Pitts Cottage (SE-Bound),twrgdgwg,Blind Lane-Jane Pitts Cottage,100m South Of Jane Pit Cottage,Blind Lane,SE-Bound,SE,Success,Houghton-le-Spring,Success
410000028071,Blind Lane-Newstead Road (NW-Bound),twrgdgta,Blind Lane-Newstead Road,Outside Newstead Road Junction,BLIND LANE,NW-Bound,NW,Houghton-le-Spring,Sunderland,Houghton-Le-Spring
410000028082,Blind Lane-Newstead Road (SE-Bound),twrgdgwm,Blind Lane-Newstead Road,Opposite Sunniside Methodist Church,Blind Lane,SE-Bound,SE,Houghton-le-Spring,Sunderland,Houghton-Le-Spring
410000023036,Blue House Lane-Albany Way (E-Bound),twrdtgwm,Blue House Lane-Albany Way,West Of Community Centre And Garage,Blue House Lane,E-Bound,E,Albany,Washington,Albany
410000022711,Blue House Lane-Havannah Road (W-Bound),twrdtawa,Blue House Lane-Havannah Road,Outside Parsons Industrial Estate,Blue House Lane,W-Bound,W,Donwell,Washington,Donwell
410000022710,Blue House Lane-St Andrews Avenue (E-Bound),twrdtatw,Blue House Lane-St Andrews Avenue,Opposite Parsons Industrial Estate,Blue House Lane,E-Bound,E,Donwell,Washington,Donwell
410000023034,Blue House Lane-Weardale Avenue (E-Bound),twrdtgwg,Blue House Lane-Weardale Avenue,Outside No.10 Blue House Lane,Blue House Lane,E-Bound,E,Albany,Washington,Albany
410000023035,Blue House Lane-Weardale Avenue (W-Bound),twrdtgwj,Blue House Lane-Weardale Avenue,Opposite Weardale Avenue Entrance,Blue House Lane,W-Bound,W,Albany,Washington,Albany
410000014989,Blue Quadrant Car Park (N-Bound),twrgwgtg,Blue Quadrant Car Park,Multi Story Car Park,Blue Quadrant Car Park,N-Bound,N,Metrocentre,Gateshead,Metro Centre
410000004093,Blyth Road (E-Bound),twradwgp,Blyth Road,Outside Caravan Park,Blyth Road,E-Bound,E,Whitley Bay,,Whitley Bay
410000004092,Blyth Road (W-Bound),twradwgm,Blyth Road,Opposite Caravan Park,Blyth Road,W-Bound,W,Whitley Bay,,Whitley Bay
410000017143,Boker Lane (N-Bound),twrdmpda,Boker Lane,Opposite Langdale Way,Boker Lane,N-Bound,N,East Boldon,Boldon,East Boldon
410000017142,Boker Lane (S-Bound),twrdmpaw,Boker Lane,Opposite Library,Boker Lane,S-Bound,S,East Boldon,Boldon,East Boldon
410000014949,Bolam Street (SE-Bound),twrjadma,Bolam Street,North Of Angus Road Junction,Bolam Street,SE-Bound,SE,Bensham,Gateshead,Bensham
410000014111,Bolam Street-Turning Circle (N-Bound),twrawpjd,Bolam Street-Turning Circle,Outside Eslington Court,Bolam Street,N-Bound,N,Bensham,Gateshead,Bensham
410000015651,Bolam Way-Brinkburn Street (N-Bound),twrdgwtg,Bolam Way-Brinkburn Street,Opposite S-Mart Variety Store,Bolam Way,N-Bound,N,Byker,Newcastle upon Tyne,Byker
410000015652,Bolam Way-Brinkburn Street (S-Bound),twrdgwtj,Bolam Way-Brinkburn Street,Outside S-Mart Variety Store,Bolam Way,S-Bound,S,Byker,Newcastle upon Tyne,Byker
410000015650,Bolam Way-Raby Street (NW-Bound),twrdgwtd,Bolam Way-Raby Street,Outside Car Parks,Bolam Way,NW-Bound,NW,Byker,Newcastle upon Tyne,Byker
410000016935,Boldon Asda (SW-Bound),twrgwjwg,Boldon Asda,Opposite North Road Social Club,Cotswolds Lane,SW-Bound,SW,Boldon Colliery,Boldon,Boldon Colliery
410000000051,Boldon C Of E School (E-Bound),twrgtpmp,Boldon C Of E School,Outside Boldon C Of E School,North Road,E-Bound,E,West Boldon,Boldon,West Boldon
410000017047,Boldon Lane - Harton Lane (S-Bound),twrdmgja,Boldon Lane - Harton Lane,Outside West Harton Methodist Church,Boldon Lane,S-Bound,S,West Harton,South Shields,West Harton
410000017061,Boldon Lane - Hudson Street (N-Bound),twrdmgmj,Boldon Lane - Hudson Street,Opposite The Kingdom Hall Church,Hudson Street,N-Bound,N,Tyne Dock,South Shields,Tyne Dock
410000017995,Boldon Lane (N-Bound),twrgwtpd,Boldon Lane,Outside Ambulance Station,Boldon Lane,N-Bound,N,West Harton,South Shields,West Harton
410000017996,Boldon Lane (S-Bound),twrgwtpg,Boldon Lane,Opposite Ambulance Station,Boldon Lane,S-Bound,S,West Harton,South Shields,West Harton
